	ASCL1neg_corr	ASCL1neg_pval	ASCL1neg_qval	ASCL1neg_ci_low	ASCL1neg_ci_high	ASCL1pos_corr	ASCL1pos_pval	ASCL1pos_qval	ASCL1pos_ci_low	ASCL1pos_ci_high
NRG4	-0.020400078370248226	3.65706220600808e-06	4.299896773672051e-06	-0.029031717145313583	-0.01176539743443698	0.020403455465692433	3.6435457529629794e-06	4.284004412654885e-06	0.011768775468320065	0.029035092799129122
SLC35B2	-0.020435909580978174	3.5160702199068794e-06	4.1365531998904464e-06	-0.029067533050228654	-0.011801238612114791	0.02043575266951594	3.5166761328472205e-06	4.137266038643789e-06	0.011801081656957093	0.02906737620584172
PARP11	-0.02052722623892601	3.179924027203137e-06	3.747700680262978e-06	-0.029158810600739816	-0.011892580771381226	0.020526873806934055	3.1811600480309595e-06	3.74915739308304e-06	0.011892228240691225	0.02915845831995774
LAMTOR3	-0.020863111447635332	2.1895071506832844e-06	2.5834892633431085e-06	-0.029494550724102973	-0.012228561020099284	0.02086306337546051	2.1896249742290796e-06	2.583628288175905e-06	0.012228512934182756	0.02949450267283224
SLC25A28	-0.020927187965894007	2.037753236125524e-06	2.4072690326349957e-06	-0.029558599343352573	-0.01229265589050141	0.020926316310114296	2.0397481146809535e-06	2.409625652310636e-06	0.012291783984594885	0.02955772806756858
TMEM129	-0.0214688375246953	1.1013123250470648e-06	1.3048724230415461e-06	-0.03010001023526495	-0.012834463418030916	0.021467121844090557	1.1034864573928395e-06	1.3074484092332222e-06	0.012832747229054078	0.030098295318635743
SYS1	-0.02154518705375079	1.008626832557922e-06	1.196473110982114e-06	-0.030176325715188735	-0.012910835621662935	0.021544806415715642	1.0090697232525867e-06	1.196998485471633e-06	0.012910454870334574	0.03017594524715399
DNAJC14	-0.02161151326135193	9.342442971688184e-07	1.1088953082122472e-06	-0.030242622262018317	-0.012977181608846434	0.021611156190152452	9.346302257506163e-07	1.1093533836802567e-06	0.012976824430958817	0.03024226535070273
PUS7L	-0.02170337709503352	8.398912844192557e-07	9.974955871962658e-07	-0.030334444889191556	-0.013069072963426591	0.02170283729254996	8.404179207254429e-07	9.981210459922125e-07	0.013068532998801083	0.030333905329267687
ZNF616	-0.021788663080278905	7.605589628771887e-07	9.043507287481435e-07	-0.030419692488088654	-0.013154384629506152	0.021788253853604854	7.609217954093536e-07	9.047821586318117e-07	0.013153975279307945	0.030419283445903136
G6PD	-0.021962900844266768	6.203125745430201e-07	7.384673506464525e-07	-0.03059385143914969	-0.013328675249721094	0.02196226357214569	6.207769069193077e-07	7.390201272848901e-07	0.013328037783323166	0.03059321445624064
FDX1	-0.022007382731346146	5.887161375575881e-07	7.012699673110042e-07	-0.03063831312177399	-0.013373170714756613	0.022008311611933874	5.880731622809505e-07	7.005040646586665e-07	0.013374099879246707	0.030639241580083753
